"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"CRDL1.3362.61.2","3362-61_2","CRDL1",2710.81574842723,3.41,0.04,NA,NA,4.6531,NA,NA,168,3.319,3.364,3.347,3.697,3.688,3.766,465
"CSK.3363.31.4","3363-31_4","CSK",484.506937549979,3,0.03,NA,NA,5.0223,NA,NA,168,3.085,3.309,3.234,4.637,4.59,4.738,466
"Cathepsin.V.3364.76.2","3364-76_2","Cathepsin V",2557.40788582677,3.33,0.03,NA,NA,7.0215,NA,NA,168,2.876,3.032,3.001,3.701,3.667,3.737,467
"Dkk.4.3365.7.2","3365-7_2","Dkk-4",5916.97861958719,3.64,0.02,NA,NA,3.7502,NA,NA,168,3.528,3.686,3.663,4.236,4.183,4.311,468
"ECM1.3366.51.2","3366-51_2","ECM1",19701.5320721676,4.49,0.02,NA,NA,5.1739,NA,NA,168,4.149,4.235,4.199,4.556,4.528,4.585,469
"FETUB.3367.8.3","3367-8_3","FETUB",6873.84919590323,3.74,0.02,NA,NA,4.4758,NA,NA,168,3.379,3.548,3.515,3.955,3.93,3.998,470
"Granzyme.H.3373.5.2","3373-5_2","Granzyme H",277.971326775929,2.44,0.02,NA,NA,4.3755,NA,NA,168,2.502,2.511,2.507,2.677,2.671,2.726,471
"HCK.3374.49.2","3374-49_2","HCK",243.500579995202,2.29,0.02,NA,NA,4.4441,NA,NA,168,2.215,2.244,2.233,2.501,2.486,2.557,472
"IL.17.RD.3376.49.2","3376-49_2","IL-17 RD",389.493307703655,2.66,0.03,NA,NA,3.493,NA,NA,168,2.515,2.552,2.534,2.834,2.805,2.906,473
"Kallikrein.7.3378.49.2","3378-49_2","Kallikrein 7",1624.05225928519,3.3,0.03,NA,NA,4.6637,NA,NA,168,2.83,2.946,2.928,3.456,3.395,3.496,474
"KPCI.3379.29.1","3379-29_1","KPCI",869.961433065267,2.95,0.02,NA,NA,7.5542,NA,NA,168,3.086,3.151,3.139,3.899,3.867,3.949,475
"LYNB.3381.24.2","3381-24_2","LYNB",4315.19076827765,3.85,0.03,NA,NA,10.7883,NA,NA,168,4.044,4.275,4.197,5.185,5.169,5.219,476
"PAK3.3387.1.2","3387-1_2","PAK3",800.386951809498,2.84,0.05,NA,NA,5.1789,NA,NA,168,2.723,2.811,2.785,3.143,3.114,3.171,477
"PAK7.3388.58.2","3388-58_2","PAK7",516.297473697589,2.66,0.03,NA,NA,3.4649,NA,NA,168,2.809,2.849,2.827,3.188,3.142,3.262,478
"PCI.3389.7.2","3389-7_2","PCI",114894.701191667,5.07,0.03,NA,5.003,1.5282,NA,NA,31,4.771,4.939,4.9,5.003,5.003,5.003,479
"PIK3CA.PIK3R1.3390.72.2","3390-72_2","PIK3CA/PIK3R1",629.216351287986,2.78,0.02,NA,NA,6.4173,NA,NA,168,2.855,2.923,2.903,3.464,3.426,3.506,480
"PK3CG.3391.10.2","3391-10_2","PK3CG",1639.45688526357,3.18,0.06,3.526,3.3,5.4294,NA,NA,168,3.273,3.291,3.281,3.557,3.54,3.603,481
"PKB.a.b.g.3392.68.2","3392-68_2","PKB a/b/g",927.256742580594,NA,NA,NA,NA,6.3463,NA,NA,168,3.023,3.2,3.154,4.228,4.188,4.296,482
"PLK.1.3394.81.2","3394-81_2","PLK-1",209.411245585089,2.31,0.02,NA,NA,4.2004,NA,NA,168,2.26,2.29,2.275,2.593,2.548,2.641,483
"Renin.3396.54.2","3396-54_2","Renin",816.394367964565,2.93,0.01,NA,NA,6.543,NA,NA,168,2.631,2.712,2.671,3.466,3.414,3.513,484
"SHP.2.3397.7.4","3397-7_4","SHP-2",2526.96949937834,3.47,0.03,NA,NA,7.7946,NA,NA,168,3.374,3.459,3.411,4.256,4.214,4.297,485
"STAB2.3399.31.2","3399-31_2","STAB2",984.011105761134,2.94,0.05,3.292,NA,1.6586,NA,NA,18,3.292,3.292,3.292,3.332,3.319,3.364,486
"TBK1.3400.49.2","3400-49_2","TBK1",421.696503428582,2.6,0.02,NA,NA,6.2504,NA,NA,168,2.694,2.727,2.714,2.964,2.948,2.99,487
"TCPTP.3401.8.2","3401-8_2","TCPTP",408.695635628158,2.57,0.01,NA,NA,3.7632,NA,NA,168,2.617,2.638,2.633,2.804,2.791,2.85,488
"TPSB2.3403.1.2","3403-1_2","TPSB2",3013.00602418612,3.48,0.01,NA,NA,6.6837,NA,NA,168,2.908,3.014,2.963,3.855,3.83,3.924,489
"TPSG1.3404.51.2","3404-51_2","TPSG1",291.004697783771,2.31,0.02,NA,NA,4.6496,NA,NA,168,2.245,2.289,2.277,2.614,2.587,2.666,490
"UFC1.3405.6.2","3405-6_2","UFC1",7459.33307925714,3.92,0.02,NA,NA,12.6385,NA,NA,168,3.969,4.104,4.051,4.715,4.701,4.726,491
"Bcl.2.3412.7.1","3412-7_1","Bcl-2",624.884856392962,2.85,0.04,NA,NA,5.3253,NA,NA,168,2.863,2.921,2.893,3.421,3.363,3.462,492
"BFL1.3413.50.2","3413-50_2","BFL1",803.156169922657,2.92,0.02,NA,NA,4.0529,NA,NA,168,2.918,2.958,2.944,3.223,3.184,3.265,493
"BMX.3414.40.2","3414-40_2","BMX",520.355321134558,2.75,0.02,NA,NA,5.6102,NA,NA,168,2.742,2.77,2.751,2.979,2.967,3.012,494
"BSP.3415.61.2","3415-61_2","BSP",3854.78357665772,3.45,0.03,NA,NA,5.0018,NA,NA,168,3.168,3.232,3.197,3.878,3.829,3.949,495
"BTK.3416.2.2","3416-2_2","BTK",537.40289295035,3.05,0.04,NA,NA,4.1869,NA,NA,168,3.131,3.358,3.271,4.724,4.68,4.853,496
"CAMK1D.3418.12.2","3418-12_2","CAMK1D",1959.74696255872,3.35,0.04,3.496,NA,1.2482,NA,NA,18,3.496,3.496,3.496,3.533,3.52,3.574,497
"CAMK2D.3419.49.2","3419-49_2","CAMK2D",1401.84500979848,3.2,0.02,NA,NA,6.2135,NA,NA,168,3.371,3.461,3.423,4.429,4.388,4.5,498
"Carbonic.anhydrase.XIII.3420.21.2","3420-21_2","Carbonic anhydrase XIII",381.416959666939,2.63,0.03,NA,NA,4.9598,NA,NA,168,2.775,2.97,2.903,4.129,4.07,4.218,499
"CD30.Ligand.3421.54.2","3421-54_2","CD30 Ligand",1741.80687339161,3.25,0.03,NA,NA,5.9561,NA,NA,168,3.21,3.247,3.231,3.539,3.497,3.555,500
"CDK1.cyclin.B.3422.4.2","3422-4_2","CDK1/cyclin B",328.851630875983,2.51,0.03,NA,NA,5.495,NA,NA,168,2.62,2.659,2.647,2.958,2.928,2.99,501
"Chymase.3423.59.2","3423-59_2","Chymase",793.596968195769,2.8,0.03,3.091,NA,1.9714,NA,NA,26,3.091,3.091,3.091,3.163,3.142,3.207,502
"CSK21.3427.63.2","3427-63_2","CSK21",380.45211258004,2.55,0.02,NA,NA,7.3552,NA,NA,168,2.667,2.702,2.691,3.273,3.235,3.313,503
"EphA1.3431.54.2","3431-54_2","EphA1",3688.07717226155,3.4,0.03,NA,NA,5.2168,NA,NA,168,3.267,3.359,3.326,3.928,3.904,4.001,504
"EPHA3.3432.21.2","3432-21_2","EPHA3",115.239137719949,2.13,0.03,NA,NA,4.5907,NA,NA,168,1.984,2.018,2.005,2.333,2.284,2.369,505
"FN1.3.3434.34.1","3434-34_1","FN1.3",744.04636619192,3.09,0.04,NA,NA,6.0938,NA,NA,168,2.955,3.051,3.01,3.66,3.614,3.704,506
"FN1.4.3435.53.2","3435-53_2","FN1.4",31491.9823960228,4.65,0.03,NA,NA,6.5654,NA,NA,168,4.529,4.586,4.572,4.977,4.95,5.008,507
"Flt.3.3437.80.3","3437-80_3","Flt-3",1512.51607839632,3.2,0.03,NA,NA,6.847,NA,NA,168,3.301,3.332,3.318,4.083,4.045,4.143,508
"FSTL3.3438.10.2","3438-10_2","FSTL3",5763.68184810413,3.71,0.02,NA,NA,9.7674,NA,NA,168,3.576,3.656,3.605,4.055,4.049,4.076,509
"granzyme.A.3440.7.2","3440-7_2","granzyme A",3733.36111716081,3.57,0.02,NA,NA,7.3466,NA,NA,168,3.273,3.355,3.325,3.876,3.857,3.918,510
"GSK.3.alpha.beta.3441.64.2","3441-64_2","GSK-3 alpha/beta",2489.43046484176,3.48,0.03,NA,NA,13.4114,NA,NA,168,3.617,3.707,3.658,4.634,4.606,4.655,511
"HIPK3.3443.61.2","3443-61_2","HIPK3",481.725903559163,2.48,0.04,NA,NA,6.0665,NA,NA,168,2.541,2.58,2.563,3.089,3.037,3.127,512
"IL.15.Ra.3445.53.2","3445-53_2","IL-15 Ra",857.235208208406,2.84,0.02,NA,NA,6.3019,NA,NA,168,2.934,2.952,2.944,3.17,3.138,3.185,513
"IL.18.Ra.3446.7.2","3446-7_2","IL-18 Ra",11173.777007617,4.04,0.02,NA,NA,6.5767,NA,NA,168,3.748,3.824,3.791,4.347,4.331,4.402,514
"IL.8.3447.64.2","3447-64_2","IL-8",800.386951809498,2.9,0.02,NA,NA,7.0747,NA,NA,168,2.885,2.907,2.896,3.215,3.189,3.242,515
"IR.3448.13.2","3448-13_2","IR",11279.7636558815,4.09,0.03,NA,NA,7.0526,NA,NA,168,3.677,3.75,3.728,4.322,4.292,4.365,516
"Kallistatin.3449.58.2","3449-58_2","Kallistatin",59333.5044380004,4.81,0.02,NA,NA,6.9644,NA,NA,168,4.589,4.636,4.623,4.887,4.875,4.907,517
"Kallikrein.6.3450.4.2","3450-4_2","Kallikrein 6",2918.77084819714,3.23,0.03,NA,NA,6.1409,NA,NA,168,3.167,3.21,3.199,3.495,3.481,3.528,518
"LCK.3452.17.2","3452-17_2","LCK",1004.84713824658,2.54,0.01,NA,NA,5.4361,NA,NA,168,2.625,2.681,2.666,2.874,2.863,2.89,519
"LYN.3453.87.2","3453-87_2","LYN",897.222177672879,3.14,0.02,NA,NA,10.0462,NA,NA,168,3.357,3.573,3.472,4.679,4.651,4.718,520
"Osteoblast.specif.transcr.fact.2.3457.57.1","3457-57_1","Osteoblast-specif transcr fact 2",2988.13352456844,3.41,0.02,NA,NA,5.1287,NA,NA,168,3.158,3.242,3.206,3.698,3.674,3.758,521
"PDGF.Rb.3459.49.2","3459-49_2","PDGF Rb",5953.87894127685,3.57,0.02,NA,NA,11.2256,NA,NA,168,3.31,3.376,3.362,4.099,4.071,4.123,522
"PGCB.3461.58.1","3461-58_1","PGCB",1150.00571869924,3.07,0.02,NA,NA,4.861,NA,NA,168,2.928,2.952,2.939,3.246,3.217,3.294,523
"PRKACA.3466.8.2","3466-8_2","PRKACA",596.348319834126,2.97,0.02,NA,NA,6.4341,NA,NA,168,3.043,3.219,3.145,4.198,4.164,4.267,524
"RPS6KA3.3469.74.1","3469-74_1","RPS6KA3",405.508535448384,2.62,0.02,NA,NA,4.5636,NA,NA,168,2.77,2.834,2.808,3.665,3.614,3.76,525
"sE.Selectin.3470.1.2","3470-1_2","sE-Selectin",28608.8236062721,4.37,0.02,NA,NA,4.6485,NA,NA,168,3.992,4.175,4.115,4.778,4.736,4.842,526
"STK16.3471.49.1","3471-49_1","STK16",1914.69674948664,3.26,0.05,3.462,3.27,4.0727,NA,NA,168,3.205,3.261,3.246,3.534,3.488,3.565,527
"Survivin.3472.40.2","3472-40_2","Survivin",3238.17264731325,2.66,0.04,2.882,2.706,5.857,NA,NA,168,2.675,2.698,2.693,2.914,2.895,2.94,528
"Thrombopoietin.Receptor.3473.78.2","3473-78_2","Thrombopoietin Receptor",289.467626417603,2.45,0.02,NA,NA,8.0652,NA,NA,168,2.557,2.575,2.566,2.812,2.794,2.83,529
"Thrombospondin.1.3474.19.2","3474-19_2","Thrombospondin-1",2331.84672315709,2.96,0.03,NA,NA,4.2997,NA,NA,168,2.573,2.747,2.68,4.066,4.014,4.186,530
"TrkA.3477.63.2","3477-63_2","TrkA",843.334757764276,2.87,0.03,NA,NA,4.7402,NA,NA,168,3.005,3.041,3.021,3.39,3.36,3.446,531
"TRY3.3479.71.2","3479-71_2","TRY3",510.857766163356,2.61,0.03,NA,NA,3.8392,NA,NA,168,2.679,2.704,2.693,2.915,2.896,2.968,532
"DUS3.3480.7.1","3480-7_1","DUS3",350.832646855166,2.67,0.02,NA,NA,9.4902,NA,NA,168,2.767,2.95,2.879,4.028,3.992,4.065,533
"XPNPEP1.3481.87.1","3481-87_1","XPNPEP1",3287.00223968775,3.51,0.02,NA,NA,6.2261,NA,NA,168,3.529,3.612,3.575,4.331,4.291,4.389,534
"Angiotensinogen.3484.60.2","3484-60_2","Angiotensinogen",2253.72021414598,3.37,0.03,NA,NA,8.8575,NA,NA,168,3.072,3.109,3.091,3.447,3.439,3.476,535
"b2.Microglobulin.3485.28.2","3485-28_2","b2-Microglobulin",991.516623805053,2.97,0.06,NA,NA,3.4473,NA,NA,168,2.848,2.911,2.89,3.294,3.243,3.368,536
"b.ECGF.3486.58.2","3486-58_2","b-ECGF",262.361436429592,2.48,0.02,NA,NA,6.6348,NA,NA,168,2.385,2.401,2.396,2.662,2.64,2.691,537
"BLC.3487.32.2","3487-32_2","BLC",3069.02198839116,3.3,0.02,NA,NA,5.992,NA,NA,168,3.257,3.345,3.302,3.834,3.791,3.868,538
"Catalase.3488.64.2","3488-64_2","Catalase",12647.3634747115,4.11,0.02,NA,NA,5.4205,NA,NA,168,3.923,4.021,3.982,4.393,4.373,4.432,539
"CNTF.3489.9.2","3489-9_2","CNTF",310.384481915954,2.46,0.03,NA,NA,5.6514,NA,NA,168,2.427,2.452,2.445,2.753,2.716,2.782,540
"Epo.3492.58.1","3492-58_1","Epo",388.776494927999,2.54,0.02,NA,NA,10.4237,NA,NA,168,2.517,2.563,2.553,2.96,2.937,2.971,541
"FGF.17.3494.71.3","3494-71_3","FGF-17",136.207179529909,2.13,0.03,2.246,NA,3.7549,NA,NA,27,2.246,2.246,2.246,2.326,2.301,2.34,542
"GCP.2.3495.15.2","3495-15_2","GCP-2",1752.26586188571,3.13,0.04,NA,NA,11.4242,NA,NA,168,2.95,3.029,2.989,3.709,3.695,3.741,543
"GLRX1.ECOLI.3496.68.1","3496-68_1","GLRX1_ECOLI",177.909852656514,2.21,0.02,2.417,NA,0.74118,NA,NA,51,2.417,2.417,2.417,2.421,2.417,2.429,544
"IFN.aA.3497.13.2","3497-13_2","IFN-aA",171.356269968644,2.21,0.03,2.356,NA,3.7033,NA,NA,33,2.356,2.356,2.356,2.423,2.413,2.446,545
"IL.17.3498.53.2","3498-53_2","IL-17",323.221320339609,2.25,0.03,NA,NA,5.0237,NA,NA,168,2.278,2.314,2.302,2.558,2.531,2.588,546
"IL.17B.3499.77.2","3499-77_2","IL-17B",242.325992409255,2.31,0.02,NA,NA,4.1613,NA,NA,168,2.293,2.338,2.315,2.58,2.569,2.637,547
"Integrin.a1b1.3503.4.2","3503-4_2","Integrin a1b1",665.426358644372,2.84,0.03,NA,NA,8.5109,NA,NA,168,2.918,2.969,2.953,3.829,3.773,3.858,548
"LEAP.1.3504.58.2","3504-58_2","LEAP-1",4912.47100450335,3.93,0.03,NA,NA,5.0761,NA,NA,168,2.506,2.74,2.572,4.341,4.279,4.436,549
"Lymphotoxin.a1.b2.3505.6.2","3505-6_2","Lymphotoxin a1/b2",195.884467350599,2.31,0.02,NA,NA,4.5988,NA,NA,168,2.153,2.202,2.188,2.452,2.438,2.496,550
"Lymphotoxin.a2.b1.3506.49.1","3506-49_1","Lymphotoxin a2/b1",1671.86035720447,3.17,0.03,NA,NA,6.5555,NA,NA,168,3.035,3.095,3.079,3.407,3.395,3.437,551
"MDH.THETH.3507.1.2","3507-1_2","MDH_THETH",198.700975850116,2.21,0.02,NA,NA,3.3674,NA,NA,168,2.231,2.261,2.244,2.477,2.462,2.546,552
"MDC.3508.78.3","3508-78_3","MDC",1016.4827197221,2.88,0.05,NA,NA,5.6641,NA,NA,168,2.933,2.987,2.967,3.476,3.412,3.504,553
"MIP.5.3509.1.1","3509-1_1","MIP-5",4640.87637808009,3.55,0.03,NA,NA,6.1736,NA,NA,168,3.344,3.413,3.393,3.914,3.886,3.962,554
"KAD.GEOSE.3512.72.2","3512-72_2","KAD_GEOSE",187.283708301755,2.25,0.02,NA,NA,5.5515,NA,NA,168,2.238,2.269,2.261,2.487,2.477,2.522,555
"YOPH.YEREN.3513.13.1","3513-13_1","YOPH_YEREN",68.0455924994638,1.98,0.02,NA,NA,5.6996,NA,NA,168,1.727,1.793,1.771,2.095,2.061,2.112,556
"Proteinase.3.3514.49.2","3514-49_2","Proteinase-3",1604.72271449317,3.24,0.02,NA,NA,5.6503,NA,NA,168,2.894,2.99,2.944,3.475,3.452,3.529,557
"SDF.1.3516.60.2","3516-60_2","SDF-1",4080.3742668967,3.54,0.03,NA,NA,6.4662,NA,NA,168,3.519,3.555,3.541,3.867,3.848,3.901,558
"HLA.STAAU.3517.1.1","3517-1_1","HLA_STAAU",76.7538201218377,1.84,0.02,NA,NA,5.0875,NA,NA,168,1.884,1.92,1.909,2.188,2.161,2.222,559
"TAFI.3518.54.2","3518-54_2","TAFI",22924.5067477344,4.41,0.02,NA,NA,5.586,NA,NA,168,4.22,4.252,4.242,4.474,4.448,4.494,560
"TARC.3519.3.2","3519-3_2","TARC",774.996961877576,2.78,0.02,NA,NA,4.8665,NA,NA,168,2.732,2.876,2.84,3.589,3.533,3.654,561
"TGF.b3.3520.58.1","3520-58_1","TGF-b3",455.617083799016,2.66,0.02,2.825,NA,2.4119,NA,NA,32,2.825,2.825,2.825,2.885,2.876,2.921,562
"TSH.3521.16.2","3521-16_2","TSH",784.693400352688,2.73,0.03,NA,NA,4.1681,NA,NA,168,2.435,2.548,2.511,3.147,3.065,3.204,563
"Vasoactive.Intestinal.Peptide.3522.57.1","3522-57_1","Vasoactive Intestinal Peptide",246.093418995258,2.36,0.02,NA,NA,4.4741,NA,NA,168,2.48,2.522,2.516,2.838,2.807,2.888,564
"None.3525.1.1","3525-1_1","None",3.59997927043357,0.51,0.12,0.971,NA,0.22698,NA,NA,16,0.971,0.971,0.971,0.979,0.971,1.036,565
"None.3525.2.1","3525-2_1","None",2.99985318119079,0.45,0.11,0.885,NA,0.593,NA,NA,22,0.885,0.885,0.885,0.92,0.889,0.996,566
"None.3525.3.1","3525-3_1","None",2.54976408779928,0.42,0.11,0.866,NA,2.6724,NA,NA,27,0.866,0.866,0.866,1.008,0.955,1.047,567
"None.3525.4.1","3525-4_1","None",2.35017390609139,0.37,0.13,0.832,NA,1.1053,NA,NA,27,0.832,0.832,0.832,0.924,0.876,1.018,568
"CD40.ligand..soluble.3534.14.2","3534-14_2","CD40 ligand, soluble",278.419724888356,2.22,0.03,NA,NA,4.9784,NA,NA,168,2.302,2.341,2.323,2.8,2.755,2.857,569
"DKK1.3535.84.1","3535-84_1","DKK1",24015.9626788569,4.1,0.02,NA,NA,6.1752,NA,NA,168,3.943,4.075,4.046,4.824,4.794,4.887,570
"dopa.decarboxylase.3538.26.1","3538-26_1","dopa decarboxylase",299.157572153086,2.43,0.02,NA,NA,3.7384,NA,NA,168,2.399,2.435,2.424,2.713,2.677,2.769,571
"a1.Antitrypsin.3580.25.5","3580-25_5","a1-Antitrypsin",737.224908104336,2.85,0.05,NA,NA,4.2929,NA,NA,168,2.763,2.828,2.819,3.29,3.23,3.344,572
"a2.HS.Glycoprotein.3581.53.3","3581-53_3","a2-HS-Glycoprotein",1644.75039739146,3.2,0.02,NA,NA,5.1789,NA,NA,168,3.051,3.106,3.093,3.318,3.306,3.342,573
"Arylsulfatase.A.3583.54.1","3583-54_1","Arylsulfatase A",899.911910870052,3.03,0.04,NA,NA,5.0181,NA,NA,168,2.935,2.994,2.968,3.343,3.308,3.383,574
"BASI.3585.54.4","3585-54_4","BASI",2968.93028622637,3.52,0.08,3.86,NA,2.7788,NA,NA,19,3.86,3.86,3.86,3.972,3.945,4.015,575
"BMP10.3587.53.1","3587-53_1","BMP10",2258.91557580056,3.36,0.04,3.586,NA,4.0583,NA,NA,33,3.586,3.586,3.586,3.692,3.676,3.721,576
"C1s.3590.8.3","3590-8_3","C1s",6410.61949620744,3.82,0.03,NA,NA,9.0699,NA,NA,168,3.729,3.771,3.755,3.998,3.986,4.003,577
"Cadherin.6.3591.51.3","3591-51_3","Cadherin-6",900.741142186957,2.93,0.06,3.287,3.031,4.9125,NA,NA,168,2.988,3.017,3.005,3.296,3.274,3.344,578
"CAMK1.3592.4.3","3592-4_3","CAMK1",4449.38513974581,3.75,0.08,3.993,3.671,5.2015,NA,NA,168,3.474,3.607,3.566,4.036,4.007,4.074,579
"Caspase.3.3593.72.3","3593-72_3","Caspase-3",1609.90407621571,3.37,0.04,NA,NA,9.6278,NA,NA,168,3.435,3.587,3.523,4.644,4.622,4.692,580
"CATE.3594.6.1","3594-6_1","CATE",579.295293398177,2.36,0.04,NA,NA,7.0153,NA,NA,168,2.361,2.402,2.389,2.904,2.856,2.931,581
"Chitotriosidase.1.3600.2.3","3600-2_3","Chitotriosidase-1",1043.03768550484,3.31,0.02,NA,NA,9.8304,NA,NA,168,2.322,2.504,2.415,3.757,3.72,3.796,582
"CHL1.3601.54.3","3601-54_3","CHL1",11455.1294144554,4.12,0.03,NA,NA,5.4563,NA,NA,168,3.847,3.901,3.869,4.249,4.221,4.29,583
"CLC7A.3603.60.4","3603-60_4","CLC7A",1370.56614531154,3.15,0.04,3.422,NA,1.452,NA,NA,21,3.422,3.422,3.422,3.516,3.422,3.546,584
"CNDP1.3604.6.4","3604-6_4","CNDP1",23232.7168784863,4.3,0.02,NA,NA,6.0367,NA,NA,168,3.763,3.944,3.876,4.495,4.465,4.533,585
"MASP3.3605.77.4","3605-77_4","MASP3",4937.41918249681,3.68,0.03,NA,NA,4.6582,NA,NA,168,3.561,3.616,3.606,3.923,3.89,3.96,586
"Discoidin.domain.receptor.2.3606.2.1","3606-2_1","Discoidin domain receptor 2",2731.49242208918,3.42,0.05,3.664,NA,1.3312,NA,NA,15,3.664,3.664,3.664,3.697,3.682,3.729,587
"DKK3.3607.71.1","3607-71_1","DKK3",4250.10833176047,3.55,0.04,NA,NA,5.7439,NA,NA,168,3.523,3.568,3.558,3.878,3.857,3.914,588
"DPP2.3608.12.1","3608-12_1","DPP2",2369.19059527764,3.34,0.05,3.54,NA,3.369,NA,NA,29,3.54,3.54,3.54,3.618,3.595,3.638,589
"Endothelin.converting.enzyme.1.3611.70.4","3611-70_4","Endothelin-converting enzyme 1",21777.0977235316,4.31,0.02,NA,NA,6.9134,NA,NA,168,4.11,4.201,4.186,4.517,4.504,4.532,590
"EphB4.3612.6.4","3612-6_4","EphB4",4181.19093349904,3.61,0.07,3.989,NA,1.3124,NA,NA,13,3.989,3.989,3.989,4.087,4.025,4.158,591
"FCN1.3613.62.1","3613-62_1","FCN1",4617.42659477296,3.71,0.04,NA,NA,7.4974,NA,NA,168,3.529,3.582,3.552,3.961,3.935,3.985,592
"GNS.3616.3.1","3616-3_1","GNS",3708.51465875686,3.7,0.04,NA,NA,10.1351,NA,NA,168,3.27,3.313,3.299,3.853,3.824,3.874,593
"HGFA.3617.80.4","3617-80_4","HGFA",4825.0298005971,3.78,0.03,NA,NA,5.2508,NA,NA,168,3.235,3.447,3.427,3.931,3.915,3.972,594
"IL22RA1.3620.67.1","3620-67_1","IL22RA1",686.119875281705,2.79,0.03,3.115,NA,3.943,NA,NA,40,3.115,3.115,3.115,3.254,3.221,3.282,595
"LGMN.3622.33.4","3622-33_4","LGMN",2421.58657346062,3.37,0.04,3.598,NA,2.5444,NA,NA,23,3.598,3.598,3.598,3.714,3.688,3.765,596
"LY86.3623.84.4","3623-84_4","LY86",4160.06388477621,3.6,0.03,NA,NA,7.3198,NA,NA,168,3.652,3.664,3.658,3.984,3.967,4.023,597
"Marapsin.3624.3.4","3624-3_4","Marapsin",5520.77439280757,3.68,0.05,4.029,3.832,4.6002,NA,NA,168,3.785,3.808,3.802,4.077,4.036,4.113,598
"MMEL2.3627.71.4","3627-71_4","MMEL2",1307.67553892022,3.08,0.04,3.374,NA,1.8006,NA,NA,24,3.374,3.374,3.374,3.439,3.415,3.481,599
"MP2K2.3628.3.4","3628-3_4","MP2K2",1310.69004236608,3.16,0.02,NA,NA,5.6002,NA,NA,168,2.988,3.08,3.04,3.53,3.508,3.581,600
"MRCKB.3629.60.4","3629-60_4","MRCKB",2434.4451836922,3.34,0.05,3.666,NA,1.9355,NA,NA,18,3.666,3.666,3.666,3.718,3.704,3.754,601
"Nectin.like.protein.1.3630.27.4","3630-27_4","Nectin-like protein 1",1470.95707679698,3.13,0.03,3.377,NA,4.3156,NA,NA,37,3.377,3.377,3.377,3.531,3.499,3.559,602
"NID2.3633.70.1","3633-70_1","NID2",2347.4697253406,3.34,0.03,NA,NA,3.9567,NA,NA,168,3.322,3.388,3.354,3.808,3.733,3.855,603
"OBCAM.3634.5.4","3634-5_4","OBCAM",1674.17171390712,3.19,0.05,3.521,NA,1.7969,NA,NA,20,3.521,3.521,3.521,3.615,3.581,3.672,604
"OCAD1.3635.76.4","3635-76_4","OCAD1",812.643376567203,3.25,0.04,NA,NA,5.489,NA,NA,168,2.936,2.981,2.964,3.245,3.227,3.278,605
"OLR1.3636.37.4","3636-37_4","OLR1",2191.79534384413,3.27,0.03,NA,NA,4.8426,NA,NA,168,2.971,3.046,3.015,3.578,3.528,3.637,606
"RAP.3640.14.3","3640-14_3","RAP",819.218969322868,3.56,0.03,NA,NA,5.2956,NA,NA,168,2.92,2.979,2.955,3.395,3.357,3.439,607
"RBP.3641.49.4","3641-49_4","RBP",1595.87914723673,3.15,0.1,NA,NA,3.77,NA,NA,168,3.016,3.149,3.11,3.922,3.859,4.026,608
"SLAF5.3642.4.1","3642-4_1","SLAF5",4342.10178786028,3.71,0.04,3.946,3.782,5.4094,NA,NA,168,3.725,3.758,3.742,3.967,3.958,4.002,609
"Soggy.1.3644.5.4","3644-5_4","Soggy-1",3094.5677839874,3.44,0.08,3.848,3.543,8.1179,NA,NA,168,3.459,3.513,3.494,3.904,3.881,3.926,610
"TEC.3646.7.4","3646-7_4","TEC",1323.12233311337,3.09,0.05,NA,NA,7.8061,NA,NA,168,3.236,3.345,3.296,4.228,4.191,4.276,611
"TLR4.3647.49.4","3647-49_4","TLR4",5605.31469646538,3.79,0.04,NA,NA,6.7551,NA,NA,168,3.52,3.583,3.569,3.961,3.951,4.001,612
"GFP.AEQVI.3650.8.3","3650-8_3","GFP_AEQVI",559.628727381971,2.69,0.05,3.059,NA,2.6876,NA,NA,34,3.059,3.059,3.059,3.239,3.197,3.304,613
"VEGF.sR2.3651.50.5","3651-50_5","VEGF sR2",9334.69215283085,3.99,0.01,NA,NA,6.3479,NA,NA,168,3.741,3.801,3.782,4.142,4.114,4.165,614
"BMPER.3654.27.1","3654-27_1","BMPER",284.380622147298,2.38,0.02,NA,NA,4.9876,NA,NA,168,2.409,2.443,2.431,2.729,2.697,2.767,615
"Cadherin.12.3656.9.1","3656-9_1","Cadherin-12",284.90495339099,2.8,0.06,2.805,NA,3.749,NA,NA,33,2.805,2.805,2.805,2.941,2.916,2.977,616
"Calcineurin.B.a.3657.74.3","3657-74_3","Calcineurin B a",2932.24328230312,3.39,0.07,3.809,3.531,6.9798,NA,NA,168,3.439,3.492,3.462,3.89,3.867,3.924,617
"COLEC12.3665.64.3","3665-64_3","COLEC12",1233.67282976633,3.08,0.03,3.278,NA,7.0753,NA,NA,29,3.28,3.287,3.281,3.389,3.369,3.39,618
